title,images,price,image_urls,discount
"Swipe Elite Note (3 GB, 16 GB, BLACK)","[{'path': 'full/f22a845676ab948c488d266be35c8f70c521f3ae.jpg', 'url': 'https://cdn.shopclues.com/images/thumbnails/58178/280/1/109963647EliteNoteFront1494229197.jpg', 'checksum': '5d08ec3a659d777f47be65ca53e55b8f'}]",Rs.5499,https://cdn.shopclues.com/images/thumbnails/58178/280/1/109963647EliteNoteFront1494229197.jpg,31% Off
"Swipe Konnect Star (1 GB, 16 GB, Gold)","[{'path': 'full/039aa570a841b853595d7535f6da3e114feac98e.jpg', 'url': 'https://cdn.shopclues.com/images/thumbnails/30906/280/1/107858485-30906485-1515395371.jpg', 'checksum': '9fffd716b01424805913d26f3d1e8b4e'}]",Rs.2899,https://cdn.shopclues.com/images/thumbnails/30906/280/1/107858485-30906485-1515395371.jpg,36% Off
"Swipe Konnect Neo 4G (512 MB, 4 GB, Black)","[{'path': 'full/d8e787b2d6e088624f39ebdf5ccfa7cdab6ae67e.jpg', 'url': 'https://cdn.shopclues.com/images/thumbnails/78276/280/1/101876702KonnectNEO4GMainImage1500026038.jpg', 'checksum': '3fd91ae96e4cece57fd35311154a0dd0'}]",Rs.2239,https://cdn.shopclues.com/images/thumbnails/78276/280/1/101876702KonnectNEO4GMainImage1500026038.jpg,48% Off
Moto E XT1506 2nd Gen 8GB - (6 Months Gadgetwood warranty),"[{'path': 'full/44d9fa90a67f07b68ca6a75490f36b0932630eb4.jpg', 'url': 'https://cdn.shopclues.com/images/thumbnails/41481/280/1/81OZSV2LusL1469019919.jpg', 'checksum': '24a8e4c207c39368dfdf35214b4346de'}]",Rs.5699,https://cdn.shopclues.com/images/thumbnails/41481/280/1/81OZSV2LusL1469019919.jpg,66% Off
