Address,URL,Title
,https://newyork.craigslist.org/mnh/egr/d/seeking-real-hellofresh/6628295639.html,Seeking REAL HelloFresh customers!
 (Bill Volz Westchester),https://newyork.craigslist.org/wch/egr/d/automotive-technician/6628219050.html,Automotive Technician
 (Chelsea),https://newyork.craigslist.org/mnh/egr/d/trainee-project-manager-at/6628179017.html,Trainee Project Manager at High-End Glass Wall Company
 (LIC),https://newyork.craigslist.org/que/egr/d/electrical-project-manager/6628145427.html,ELECTRICAL Project Manager
" (Flushing, Queens)",https://newyork.craigslist.org/que/egr/d/intermediate-and-junior/6627967423.html,Intermediate and Junior Architect
 (FLUSHING),https://newyork.craigslist.org/que/egr/d/architectural-drafter/6627754190.html,Architectural Drafter
" (Queens, NY)",https://newyork.craigslist.org/que/egr/d/industrial-manufacturing/6627698985.html,Industrial Manufacturing Engineer (up to $75k)
 (Greenpoint/Brooklyn),https://newyork.craigslist.org/brk/egr/d/lighting-design-intern/6627652997.html,Lighting Design Intern
 (Westchester),https://newyork.craigslist.org/wch/egr/d/cad-drafter-construction/6627600757.html,CAD Drafter - Construction
" (Smithtown, NY)",https://newyork.craigslist.org/lgi/egr/d/senior-hardware-software/6627563431.html,Senior Hardware/Software Electrical Engineer
,https://newyork.craigslist.org/jsy/egr/d/project-manager/6627523376.html,Project Manager
,https://newyork.craigslist.org/mnh/egr/d/seeking-senior-project/6627009687.html,Seeking a senior Project Manager for a rising Metal and Glass Company!
 (Flushing),https://newyork.craigslist.org/que/egr/d/structural-engineer/6627468607.html,Structural Engineer
 (GREAT NECK),https://newyork.craigslist.org/que/egr/d/architectural-draftsperson/6627456059.html,Architectural Draftsperson
,https://newyork.craigslist.org/que/egr/d/mid-level-architect-5-10/6627315978.html,Mid-Level Architect: 5-10 years of Experience
 (SoHo),https://newyork.craigslist.org/mnh/egr/d/arch-designers-mixed-use-high/6627275297.html,Arch Designers w/ Mixed-Use/High-Rise Projects - Immediate Hire
,https://newyork.craigslist.org/brk/egr/d/scene-shop-technical-designer/6627212108.html,Scene Shop Technical Designer
 (Chelsea),https://newyork.craigslist.org/mnh/egr/d/administrative-assistant-for/6626756501.html,Administrative Assistant for Project Management
 (Queens),https://newyork.craigslist.org/que/egr/d/construction-inspector/6626626884.html,Construction Inspector - Railroad Construction - Queens/Nassau County
 (Midtown),https://newyork.craigslist.org/mnh/egr/d/vm-store-designer-cinema-4d/6626625361.html,VM/Store Designer - Cinema 4D
 (BELLEROSE),https://newyork.craigslist.org/que/egr/d/construction-engineer/6626598230.html,CONSTRUCTION ENGINEER/ASSISTANT PROJECT MANAGER
 (Brooklyn),https://newyork.craigslist.org/brk/egr/d/new-luxury-artistic-flower/6626593356.html,NEW Luxury Artistic Flower Shop Seeks F/T Florist/Operations Manager
 (Midtown East),https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6626591589.html,Senior Project Architect/ Project Manager
 (Downtown),https://newyork.craigslist.org/mnh/egr/d/russian-speaking-engineer/6626536372.html,RUSSIAN-SPEAKING ENGINEER
 (NYC),https://newyork.craigslist.org/brx/egr/d/project-manager-steel-company/6626523256.html,Project Manager: Steel Company with NYC projects
,https://newyork.craigslist.org/brk/egr/d/structural-engineer-pe/6626506251.html,Structural Engineer P.E.
 (Chelsea),https://newyork.craigslist.org/mnh/egr/d/project-architect-for/6626481899.html,Project Architect for boutique office
,https://newyork.craigslist.org/brk/egr/d/architectural-drafting-person/6626360490.html,Architectural  drafting person
 (Mount Vernon),https://newyork.craigslist.org/brx/egr/d/construction-project-manager/6626355759.html,Construction Project Manager / Estimator
 (Mount Vernon),https://newyork.craigslist.org/wch/egr/d/construction-estimator-needed/6626322102.html,Construction Estimator Needed
,https://newyork.craigslist.org/mnh/egr/d/senior-project-architect/6626292744.html,Senior Project Architect (Associate)
 (Flatiron),https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad/6626263104.html,IT Support Specialist / CAD Specialist
 (Staten Island),https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate/6624814792.html,Architect -Full Time-Immediate Hire
,https://newyork.craigslist.org/que/egr/d/construction-admin-needed/6624614995.html,Construction Admin needed
,https://newyork.craigslist.org/mnh/egr/d/project-architect/6624298957.html,Project architect
 (Harlem / Morningside),https://newyork.craigslist.org/mnh/egr/d/junior-lighting-designer/6623962844.html,Junior Lighting Designer - Residential
 (NYC and LI),https://newyork.craigslist.org/que/egr/d/civil-engineer-heavy-civil/6623945305.html,Civil Engineer - Heavy Civil (Nassau County)
,https://newyork.craigslist.org/que/egr/d/look-for-part-time-nys-pe/6623931418.html,Look for a part-time NYS PE
 (BROOKLYN),https://newyork.craigslist.org/brk/egr/d/field-engineer-assistant/6623700659.html,FIELD ENGINEER/ASSISTANT SUPERINTENDENT
 (ffld cnty),https://newyork.craigslist.org/fct/egr/d/assnt-project-manager/6623660981.html,assnt project manager
" (Westchester County, NY)",https://newyork.craigslist.org/wch/egr/d/office-engineer/6623345287.html,Office Engineer
,https://newyork.craigslist.org/brk/egr/d/structural-engineer-for/6623279683.html,Structural Engineer for Facades/Curtainwall
 (Greenpoint/Brooklyn),https://newyork.craigslist.org/brk/egr/d/drafter-wanted-full-time/6623127478.html,Drafter wanted - full time
 (East Williamsburg),https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6623101745.html,Architectural Metal Cost Estimator
 (Chelsea),https://newyork.craigslist.org/mnh/egr/d/junior-architect-3-years/6622982399.html,Junior Architect (3+ years experience)
 (Midtown),https://newyork.craigslist.org/mnh/egr/d/architect-assistant/6622951515.html,Architect Assistant
" (Armonk, NY)",https://newyork.craigslist.org/wch/egr/d/landscape-assistant-estimator/6622440903.html,Landscape - Assistant Estimator / Designer
,https://newyork.craigslist.org/brk/egr/d/dental-cad-cam-technician/6622376909.html,Dental Cad Cam Technician
 (ASTORIA),https://newyork.craigslist.org/que/egr/d/summer-office-help/6622267700.html,SUMMER OFFICE HELP
 (Flatiron),https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6622216043.html,Project Architect (High-end Retail & Hospitality)
